pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
4,2,1,1,1,1,20,17,20,19
5,2,1,1,1,1,16,11,13,8
46,2,1,4,4,4,20,17,13,5
50,2,1,2,1,3,22,21,14,7
52,1,1,3,6, ,24,22,26,16
63,2,1,4,2,1,24,20,25,20
65,1,1,4,2,2,17,17,23,22
67,1,1,3,3,4,19,17,33,23
78,2,1,5,6,4,27,25,31,25
80,1,1,4,6,4,17,14,21,20
85,1,1,4,6,5,24,21,27,24
88,2,1,3,4,7,25,25,20,19
91,1,1,4,6,5,25,22,28,25
97,2,1,4,3,2,19,17,20,18
103,2,1,5,5,4,20,14,11,11
114,1,1,2,1,1,18,14,21,20
118,2,1,5,4,3,20,19,19,11
145,2,1,3,3,3,24,23,19,19
153,1,1,3,4,4,20,13,18,13
155,2,1,3,3,7,27,23,19,15
182,2,1,4,3,4,22,20,22,20
198,1,1,3,3,4,17,16,22,20
199,2,1,2,1,2,18,17,18,12
203,2,1,1,1,2,24,22,25,23
216,1,1,1,1,1,16,16,23,20
248,1,1,3,4,5,25,23,31,30
281,1,1,6,2,4,24,20,25,24
304,2,1,3,2,2,25,25,25,22
308,2,1,5,3,5,29,27,32,19
315,1,1,5,3,2,21,17,31,31
340,1,1,3,1,2,16,11,18,17
343,2,1,3,2,3,21,21,16,14
352,2,1,5,5, ,24,20,25,25
358,2,1,4,3,3,19,18,15,15
416,2,1,6,6,7,16,14,14,10
423,2,1,4,3,7,17,17,18,14
427,2,1,4,6,6,20,20,25,25
435,2,1,4,6,3,25,21,23,21
444,1,1,4,4,3,19,17,27,23
446,1,1,3,1,2,18,10,20,17
449,2,1,1,4,3,25,22,21,16
469,1,1,3,4, ,21,18,26,26
472,1,1,4,5,5,27,25,32,32
474,1,1,4,5,4,18,15,29,23
481,1,1,5,6,6,21,20,30,29
508,2,1,2,5, ,15,15,16,14
526,2,1,3, ,2,19,9,23,13
535,2,1,5,4,2,21,14,20,16
586,1,1,4,4,2,15,11,26,18
599,1,1,3,3,2,18,18,33,32
633,1,1,3,1,2,16,14,24,19
641,2,1,2,2,1,13,12,17,16
647,2,1,3,3,1,9,7,13,12
680,2,1,4,6,5,27,25,28,27
745,2,1,4,3,1,20,19,14,11
814,2,1,3,3,3,19,14,12,6
820,1,1,3,3,4,12,9,15,13
829,1,1,3,3,1,14,13,28,14
862,2,1,3,3,1,20,19,24,13
893,2,1,3,4,3,24,22,21,19
894,2,1,5,5, ,25,21,18,18
908,2,1,6,6,6,27,25,30,28
922,1,1,3,4,4,20,20,32,30
923,2,1,1,1,2,22,21,21,20
939,1,1,2,3,2,18,16,25,22
948,2,1,3,4,3,21,17,21,19
974,2,1,5,1,1,17,15,17,14
980,2,1,4,5,3,24,17,24,17
1048,1,1,4,3,2,17,15,24,20
1070,1,1,2,2,3,22,21,30,29
1089,2,1,3,2,2,20,18,24,20
1091,1,1,3,3,3,20,16,27,25
1096,2,1,3,4,4,20,17,29,23
1100,2,1,5,4,5,21,19,16,13
1119,2,1,2,3,5,18,17,14,14
1125,2,1,3,3,3,18,18,10,6
1135,2,1,4,5,2,19,17,17,13
1140,2,1,5,6,5,20,17,23,20
1142,2,1,4,6,4,25,24,24,18
1168,1,1,3,2,1,19,14,22,14
1184,1,1,1,1,1,18,15,18,16
1190,2,1,5,5, ,14,9,17,10
1211,2,1,2,1,3,24,22,29,26
1221,2,1,3,4,3,16,13,27,20
1237,2,1,3,3,2,21,16,19,12
1260,2,1,3,2,1,19,16,18,17
1276,2,1,3,3,1,30,28,30,27
1280,1,1,3,2,5,23,21,31,30
1293,1,1,4,3,2,15,11,25,22
1307,2,1,3,3,2,26,17,20,13
1310,2,1,3,2,2,17,16,20,7
1325,1,1,5,6,2,23,17,25,25
1329,1,1,3,3,2,23,18,26,25
1357,1,1,3,3,3,12,8,18,13
1365,2,1,3,4,5,24,22,27,24
1374,1,1,6,5,5,23,21,32,27
1382,2,1,3,3, ,24,22,23,22
1384,2,1,2,2,2,19,19,14,13
1414,2,1,3,3,2,22,17,17,17
1417,1,1,4,6,6,20,20,32,24
1430,2,1,1,3,2,26,23,14,12
1431,1,1,1,2,2,19,12,21,20
1438,1,1,1, ,1,15,12,18,17
1439,2,1,4,6,7,22,19,29,23
1445,1,1,4,5,4,6,5,13,12
1453,1,1,4,3,4,27,26,25,22
1465,2,1,5,5,3,24,22,30,28
1485,1,1,4,4,1,21,21,30,29
1491,1,1,3,3,3,24,22,30,25
17,2,2,5,4,1,27,24,25,25
48,1,2,4,6,5,24,20,28,27
105,1,2,6,4,4,25,24,32,30
161,2,2,3,5,3,28,24,25,20
177,2,2,3,4,3,30,27,24,23
179,1,2,3,5,4,25,19,33,28
207,2,2,3,5,3,28,26,28,25
220,1,2,4,5,4,26,21,33,27
235,1,2,3,3,2,23,18,27,25
243,2,2,4,6,7,19,15,20,19
250,2,2,4,4,4,18,15,18,18
274,2,2,2,1,1,22,17,17,11
320,1,2,5,3,2,14,10,19,14
324,2,2,4,6,5,28,26,20,19
377,2,2,3,3,1,23,20,13,7
411,2,2,3,4,7,19,15,23,20
437,1,2,4,3,2,26,23,25,20
471,1,2,1,1,2,22,17,28,20
478,2,2,3,1,3,23,13,20,10
479,2,2,3,3,2,20,19,25,18
541,1,2,6,6,4,25,24,31,20
555,1,2,4,4,4,19,18,21,19
569,2,2,2,3,3,19,17,20,16
571,1,2,2,3,2,23,19,21,20
636,2,2,4,3,1,23,19,22,14
685,2,2,5,4,1,19,14,30,15
723,2,2,3,4,2,20,18,25,24
727,2,2,4,6, ,20,18,25,15
783,1,2,3,4,2,28,23,32,31
841,2,2,4,2,3,28,21,31,24
865,1,2,3,4,3,19,16,27,23
879,2,2,4,4,2,22,17,25,20
889,1,2,4,6,5,20,20,29,29
912,1,2,6,6,4,23,22,30,25
914,1,2,3,2,3,16,15,24,22
918,1,2,5,6, ,26,23,31,30
919,2,2,4,4,7,21,20,25,23
921,1,2,4,3,3,22,21,34,26
953,1,2,4,6,7,27,25,35,31
963,2,2,3,3,4,24,23,31,15
991,2,2,3,5,3,23,18,27,22
1065,1,2,5,6,5,26,23,35,32
1071,1,2,4,6,5,14,11,26,24
1104,1,2,5,4,4,26,23,30,28
1114,2,2,3,5,2,18,11,20,10
1127,2,2,4,4,2,16,11,8,3
1138,2,2,4,6,4,24,17,21,14
1143,1,2,4,6,3,27,21,29,19
1145,2,2,5,5,3,18,17,13,11
1182,2,2,3,4,2,27,21,33,23
1258,2,2,4,3,7,26,20,22,17
1308,1,2,5,6,4,18,17,22,21
1360,2,2,3,3,7,17,15,17,13
1361,1,2,5,4,4,27,20,32,26
