pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
4,2,1,1,1,1,20,17,20,19
35,2,1,2,4,2,23,18,20,19
36,1,1,3,5,5,23,19,29,25
42,1,1,4,4,1,24,23,23,11
64,1,1,4,5,6,21,16,27,23
67,1,1,3,3,4,19,17,33,23
71,1,1,2,2,1,25,23,25,20
80,1,1,4,6,4,17,14,21,20
97,2,1,4,3,2,19,17,20,18
154,2,1,3,2,2,21,15,28,20
155,2,1,3,3,7,27,23,19,15
164,2,1,5,6,4,22,19,29,25
176,2,1,5,5,5,24,23,31,28
183,2,1,1,2,2,19,17,18,17
212,2,1,5,6,4,24,22,29,24
215,1,1,4,2,3,21,19,24,12
255,1,1,4,6,3,25,21,30,22
265,2,1,1,1,2,22,20,12,10
315,1,1,5,3,2,21,17,31,31
330,2,1,4,5, ,20,17,13,11
365,2,1,5,5,4,21,16,16,14
374,1,1,1,2,2,19,16,28,23
418,2,1,5,6,4,26,23,26,22
420,2,1,4,4,2,27,25,32,28
425,1,1,3,4,3,19,14,22,21
427,2,1,4,6,6,20,20,25,25
438,2,1,2,1,2,15,12,20,18
440,1,1,4,3,2,21,20,30,29
477,2,1,3,6,3,23,21,32,25
481,1,1,5,6,6,21,20,30,29
483,1,1,3,4,4,23,20,24,24
493,1,1,3,2,2,16,15,16,11
508,2,1,2,5, ,15,15,16,14
526,2,1,3, ,2,19,9,23,13
562,2,1,4,4,4,21,20,20,14
576,1,1,4,4,4,19,15,18,18
625,2,1,2,4,1,18,15,16,13
692,2,1,4,4,5,26,23,22,14
705,1,1,2,3,2,23,15,31,21
745,2,1,4,3,1,20,19,14,11
749,1,1,3,5,3,19,13,17,12
786,1,1,4,3,3,22,19,20,18
801,2,1,3,5,3,26,24,25,17
820,1,1,3,3,4,12,9,15,13
849,2,1,4,4,4,23,21,17,8
885,2,1,3,2,2,20,13,23,23
891,1,1,3,4,3,17,13,18,15
892,2,1,4,4,4,23,21,28,26
904,2,1,5,5,1,27,26,30,27
908,2,1,6,6,6,27,25,30,28
911,2,1,5,4,5,24,23,29,26
930,2,1,4,2,4,14,10,13,11
933,2,1, , , ,25,21,20,17
948,2,1,3,4,3,21,17,21,19
965,2,1,1,1,3,23,20,22,20
966,1,1,3,6,6,19,15,26,24
1002,1,1,2,3,4,26,21,33,27
1007,1,1,2,2,2,25,23,29,28
1026,2,1,1,1,1,8,3,10,10
1045,1,1,3,4,5,23,21,27,25
1050,1,1,3,3,1,22,21,20,13
1072,1,1,5,6,4,25,24,30,28
1080,2,1,2, , ,21,21,21,17
1089,2,1,3,2,2,20,18,24,20
1118,1,1,2,4,4,20,15,30,21
1120,1,1,3,4,4,20,18,22,22
1124,1,1,4,3,2,21,17,21,12
1146,2,1,4,3,3,23,21,22,15
1165,1,1,3,4,3,16,15,30,24
1186,1,1,5,6,7,24,22,30,22
1215,2,1,3,5,2,17,17,18,16
1241,2,1,3,2,3,17,16,20,19
1262,2,1,2,1,2,23,22,19,17
1274,1,1,3,4,3,19,16,31,28
1276,2,1,3,3,1,30,28,30,27
1290,2,1,3,2,2,17,16,19,18
1316,2,1,6,5,2,15,13,14,14
1325,1,1,5,6,2,23,17,25,25
1333,1,1,3,3,4,23,21,31,28
1353,1,1,5,6,5,26,24,32,30
1366,1,1,4,3,2,14,13,23,22
1367,1,1,3,3,2,22,18,24,24
1379,2,1,3,4,4,29,24,30,24
1382,2,1,3,3, ,24,22,23,22
1414,2,1,3,3,2,22,17,17,17
1432,2,1,3,3,2,17,15,19,14
92,1,2,3,4,4,20,18,24,17
100,1,2,4,4,3,24,19,26,22
105,1,2,6,4,4,25,24,32,30
108,1,2,4,5,4,23,18,27,21
148,1,2,4,3,4,16,14,21,19
149,2,2,5,5,5,27,26,34,33
161,2,2,3,5,3,28,24,25,20
166,2,2,4,5,5,23,21,20,18
173,1,2,4,1,2,25,20,23,12
175,2,2,4,5,4,25,24,27,21
190,1,2,4,5,5,24,20,32,30
206,1,2,5,3,4,19,18,20,17
207,2,2,3,5,3,28,26,28,25
220,1,2,4,5,4,26,21,33,27
312,2,2,2,2,1,27,25,20,20
316,1,2,3,3,2,20,15,29,14
320,1,2,5,3,2,14,10,19,14
332,1,2,3,3,3,24,21,28,25
375,2,2,2,1, ,23,21,24,14
396,1,2,5,6,6,26,23,33,26
411,2,2,3,4,7,19,15,23,20
415,2,2,5,5,4,19,15,26,21
417,1,2,4,2,1,25,25,28,28
439,1,2,2,3,2,26,24,33,30
476,2,2,6,2,4,14,14,20,14
480,2,2,4,4,4,17,6,26,16
497,2,2,4,6,4,19,18,25,18
518,2,2,1,1,2,25,20,14,10
569,2,2,2,3,3,19,17,20,16
579,1,2,3,4,5,20,13,27,24
672,2,2,3,3,1,14,9,6,6
774,2,2,4,3,7,17,11,19,18
830,2,2,3,2,3,20,17,20,19
863,2,2,6,6,3,29,27,26,24
877,2,2,3,3,3,21,19,21,18
881,2,2,3,3,3,18,16,30,19
921,1,2,4,3,3,22,21,34,26
925,2,2,3,1,4,20,20,22,20
963,2,2,3,3,4,24,23,31,15
989,1,2,2,2,3,24,21,31,25
1028,2,2,3,3,3,19,12,16,11
1062,1,2,3,4,4,25,22,33,21
1097,1,2,4,3,2,25,20,30,29
1108,2,2,3,2,3,21,12,16,14
1158,1,2,5,5,5,26,20,30,24
1173,2,2,3,3,2,21,19,18,17
1183,1,2, ,4, ,22,20,29,19
1189,2,2,3,2,1,18,11,19,12
1229,2,2,5,5,4,28,20,29,17
1245,2,2,4,5,5,25,22,28,19
1261,2,2,5,1,3,25,21,20,20
1287,2,2,5,5,6,22,19,22,19
1352,2,2,5,6,4,30,29,29,28
1359,1,2,4,6,4,24,19,31,28
1391,1,2,2,4, ,16,13,19,17
1399,2,2,4,6,3,20,16,16,14
1440,2,2,1,1,1,17,17,11,10
1468,2,2,3,4,2,22,16,20,20
1497,1,2,3,5,4,23,14,33,23
1501,1,2,1,1,1,20,15,22,21
1505,2,2,3,4,2,23,20,25,14
1507,1,2,5,5, ,25,21,29,22
