pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
1,2,1,3,4,2,14,11,14,13
28,2,1,4,3,2,25,22,17,13
36,1,1,3,5,5,23,19,29,25
38,1,1,6,5,4,15,10,17,16
50,2,1,2,1,3,22,21,14,7
52,1,1,3,6, ,24,22,26,16
55,1,1,4,3,3,27,22,30,25
63,2,1,4,2,1,24,20,25,20
64,1,1,4,5,6,21,16,27,23
83,2,1,4,5,4,26,24,26,25
96,2,1,4,5,4,23,23,21,20
103,2,1,5,5,4,20,14,11,11
104,2,1,4,3,7,18,17,26,23
107,2,1,4,4,5,25,25,26,20
111,2,1,4,4,4,26,23,28,26
134,1,1,3,4,4,15,11,12,6
153,1,1,3,4,4,20,13,18,13
157,1,1,6,5,7,30,30,34,34
164,2,1,5,6,4,22,19,29,25
165,2,1,5,6,2,30,30,32,27
167,2,1,4,5,3,25,24,23,18
245,2,1,3,4,4,30,28,29,28
265,2,1,1,1,2,22,20,12,10
277,1,1,5,6,4,23,18,30,23
281,1,1,6,2,4,24,20,25,24
288,2,1,6,4,3,26,22,22,17
329,1,1,3,3,2,12,9,17,17
343,2,1,3,2,3,21,21,16,14
348,2,1,2,3,3,23,22,28,28
365,2,1,5,5,4,21,16,16,14
392,2,1,3,3,2,21,17,12,12
408,2,1,4,3,4,17,7,12,4
420,2,1,4,4,2,27,25,32,28
462,2,1,3,3,3,19,18,20,11
477,2,1,3,6,3,23,21,32,25
481,1,1,5,6,6,21,20,30,29
493,1,1,3,2,2,16,15,16,11
573,2,1,3,5,6,22,20,21,15
599,1,1,3,3,2,18,18,33,32
627,2,1,2,6,2,19,18,21,20
642,1,1,3,5,5,17,11,20,19
647,2,1,3,3,1,9,7,13,12
688,2,1,4,4,4,20,19,18,15
697,2,1,3,1, ,19,19,20,19
725,2,1,2,1,1,24,21,24,19
732,2,1,2,4,1,25,21,23,19
733,1,1,6,2,1,14,10,16,10
735,2,1,2,2,3,13,13,13,11
743,2,1,3,3,5,20,19,17,15
754,2,1,3,3,2,20,20,16,13
771,1,1,2,1,2,18,13,17,16
785,1,1,3,4,3,24,21,28,24
786,1,1,4,3,3,22,19,20,18
797,2,1,1,2,1,18,17,21,16
800,2,1,4,5,4,24,21,23,23
801,2,1,3,5,3,26,24,25,17
805,2,1,3,2,2,26,26,21,19
819,1,1,5,6,3,30,29,35,34
833,2,1,3,2,4,27,25,30,30
837,2,1,1,1,3,21,18,18,17
880,1,1, , , ,25,24,29,28
885,2,1,3,2,2,20,13,23,23
887,2,1,3,4,4,15,14,23,15
891,1,1,3,4,3,17,13,18,15
893,2,1,3,4,3,24,22,21,19
896,2,1,4,3,4,24,24,25,24
911,2,1,5,4,5,24,23,29,26
922,1,1,3,4,4,20,20,32,30
957,1,1,2,2,4,20,19,30,30
971,2,1,5,5,4,21,12,21,19
1003,2,1,5,6,6,27,27,32,27
1007,1,1,2,2,2,25,23,29,28
1013,2,1,3,2,4,20,17,20,19
1023,2,1,2,3,1,27,21,22,21
1029,1,1,4,6,4,14,14,25,21
1050,1,1,3,3,1,22,21,20,13
1079,2,1,4,3,4,22,19,17,16
1131,1,1,4,5,3,24,21,33,27
1160,2,1,2,1,3,20,17,22,20
1166,1,1,3,4,3,21,20,33,31
1190,2,1,5,5, ,14,9,17,10
1194,1,1,4,4,4,17,16,20,17
1216,1,1,3,5,5,24,17,24,20
1221,2,1,3,4,3,16,13,27,20
1237,2,1,3,3,2,21,16,19,12
1247,2,1,3,5,7,19,17,28,21
1254,1,1,3,3,2,16,15,22,18
1267,1,1,4,2,2,19,17,27,26
1276,2,1,3,3,1,30,28,30,27
1278,2,1,4,1,4,18,8,17,16
1305,1,1,4,6,5,24,24,26,24
1310,2,1,3,2,2,17,16,20,7
1329,1,1,3,3,2,23,18,26,25
1331,1,1,5,6,7,21,19,28,27
1336,2,1,2,2,2,18,17,14,14
1353,1,1,5,6,5,26,24,32,30
1365,2,1,3,4,5,24,22,27,24
1379,2,1,3,4,4,29,24,30,24
1382,2,1,3,3, ,24,22,23,22
1414,2,1,3,3,2,22,17,17,17
1442,1,1,3,5,4,24,20,30,22
1446,2,1,5,4,4,21,16,19,11
1459,1,1,3,3,2,19,11,14,13
1466,2,1,3,4,3,27,24,26,26
1473,1,1,3,5,3,26,22,30,29
1494,1,1,3,1,1,27,26,29,28
30,2,2,5,3,2,24,22,21,20
79,1,2,3,4,4,23,18,32,11
89,2,2,3,2,4,19,12,17,17
102,2,2,3,5,6,28,24,27,22
170,2,2,5,5,3,22,14,22,17
175,2,2,4,5,4,25,24,27,21
177,2,2,3,4,3,30,27,24,23
209,2,2,3,5,3,25,20,25,24
222,2,2,4,5,4,27,20,16,13
243,2,2,4,6,7,19,15,20,19
310,2,2,3,6,4,24,21,19,19
312,2,2,2,2,1,27,25,20,20
327,2,2,3,2,4,17,13,18,17
331,1,2,4,2, ,18,13,24,23
375,2,2,2,1, ,23,21,24,14
380,2,2,3,4,3,30,24,21,19
421,2,2,2,4,2,17,16,13,5
445,2,2,4,3,2,18,17,20,14
451,2,2,3,3, ,26,22,25,21
452,2,2,3,3, ,21,17,19,14
461,2,2,3,2,2,18,18,17,13
521,2,2,5,6,6,26,22,33,29
523,2,2,3,3,3,24,13,18,14
555,1,2,4,4,4,19,18,21,19
574,2,2,3,3,2,17,16,14,11
583,1,2,3,1,1,18,17,23,21
614,2,2,1,3,1,18,18,20,12
618,2,2,1,2,3,23,21,25,25
626,1,2,5,6,5,24,23,29,25
631,2,2,1,3,2,21,16,22,16
643,1,2,3,4,5,21,21,20,19
659,2,2,6,3,4,18,10,23,8
661,2,2,1,1,2,22,17,25,21
698,2,2,3,6,2,17,15,18,14
727,2,2,4,6, ,20,18,25,15
776,2,2,5,4,4,25,22,25,21
791,2,2,1,3,2,20,14,24,23
816,1,2,3,1,2,12,12,27,17
822,2,2,4,4,2,15,14,24,15
877,2,2,3,3,3,21,19,21,18
920,1,2,3,5,4,16,12,25,22
925,2,2,3,1,4,20,20,22,20
935,2,2,6,6,4,27,25,32,25
973,1,2,3,3,4,18,15,20,16
1036,2,2,1,2,5,22,18,10,10
1037,2,2,5,1,4,22,19,16,8
1044,2,2,2,3,3,20,11,26,12
1049,1,2, , , ,20,12,30,21
1062,1,2,3,4,4,25,22,33,21
1099,2,2,3,1,2,24,21,23,17
1104,1,2,5,4,4,26,23,30,28
1108,2,2,3,2,3,21,12,16,14
1110,1,2,3,3,4,20,20,20,18
1127,2,2,4,4,2,16,11,8,3
1128,1,2,6,6,4,23,22,28,22
1137,1,2,2,4,1,13,9,20,18
1183,1,2, ,4, ,22,20,29,19
1193,2,2,4,4, ,16,11,14,12
1300,2,2,4,5,5,24,21,24,22
1332,1,2,6,6,6,21,9,32,18
