WP5Country,Happiness,GDP,SocialSupport,LifeExp,Generosity,Perceptionsofcorruption,ConfidenceNation,DemocraticQuality
Afghanistan,3.57210040092468,Low,Poor,Less,.07518570125103,.823204100131989,Average,-1.89603304862976
Albania,4.5506477355957,Moderate,Fair,More,-.12743279337883,.862904965877533,Average,.046827606856823
Angola,3.93710684776306,Moderate,Poor,Less,-.100076638162136,.8163754940033,Average,-.752881705760956
Armenia,4.27719116210938,Moderate,Poor,More,-.17931233346462,.899796783924103,Weak,-.266003161668777
Australia,7.36416912078857,High,Excellent,More,.253665924072266,.43153902888298,Average,1.22752869129181
Austria,7.49880266189575,High,Excellent,More,.159644648432732,.678936898708344,Average,1.40320026874542
Azerbaijan,5.48117828369141,Moderate,Fair,Less,-.1917978823185,.698819577693939,Strong,-.881423652172089
Bangladesh,4.66016101837158,Low,Poor,Less,-.006244593299926,.742774188518524,Strong,-1.02593541145325
Belarus,5.87646627426147,Moderate,Excellent,More,-.186140581965446,.653039157390594,Average,-.790565550327301
Belgium,7.10366106033325,High,Excellent,More,.007704371120781,.573664307594299,Average,1.14551198482513
Benin,3.47941279411316,Low,Poor,Less,-.053242377936841,.855955541133881,Average,.188408195972443
Bhutan,5.569091796875,Moderate,Fair,Less,.36108663678169,.802428126335144,Strong,.30852109193802
Bolivia,5.76742887496948,Moderate,Fair,Less,-.060415498912335,.81185656785965,Average,-.225294664502144
BosniaandHerzegovina,5.12366437911987,Moderate,Fair,More,.04601838439703,.969836235046387,Weak,-.267965227365494
Botswana,4.12829875946045,Moderate,Good,Less,-.160684838891029,.748847782611847,Strong,.776189625263214
Brazil,7.14028263092041,Moderate,Excellent,More,-.10685733705759,.706954181194305,Average,.042371541261673
Bulgaria,3.99302053451538,Moderate,Fair,More,-.196452260017395,.962047100067139,Weak,.232785880565643
BurkinaFaso,3.32594966888428,Low,Poor,Less,.001466575777159,.76472145318985,Strong,-.543902039527893
Cameroon,4.27103805541992,Low,Fair,Less,-.020075222477317,.867257416248322,Strong,-.786341786384583
