pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
4,2,1,1,1,1,20,17,20,19
20,1,1,2,1,2,16,7,18,15
46,2,1,4,4,4,20,17,13,5
55,1,1,4,3,3,27,22,30,25
64,1,1,4,5,6,21,16,27,23
65,1,1,4,2,2,17,17,23,22
68,1,1,3,3,1,26,25,30,23
88,2,1,3,4,7,25,25,20,19
133,2,1,4,4,3,17,16,13,12
157,1,1,6,5,7,30,30,34,34
164,2,1,5,6,4,22,19,29,25
185,2,1, , , ,24,24,28,25
198,1,1,3,3,4,17,16,22,20
213,2,1,1,1, ,14,11,13,12
215,1,1,4,2,3,21,19,24,12
224,2,1,6,6,7,30,30,26,25
236,2,1,5,3,4,30,30,25,25
242,2,1,3,2,1,16,12,11,7
244,2,1,1,2,4,31,28,34,29
253,1,1,2,1,2,23,22,27,24
260,2,1, , , ,14,11,14,14
266,2,1,1,1,1,24,24,27,23
281,1,1,6,2,4,24,20,25,24
311,2,1,2,3,2,24,22,30,24
315,1,1,5,3,2,21,17,31,31
330,2,1,4,5, ,20,17,13,11
340,1,1,3,1,2,16,11,18,17
345,1,1,4,5,4,22,19,32,22
382,1,1,4,5,5,24,23,34,32
386,2,1,5,6,6,21,18,22,18
427,2,1,4,6,6,20,20,25,25
433,2,1,4,4,5,27,21,22,22
446,1,1,3,1,2,18,10,20,17
468,1,1,5,5,3,27,23,34,34
499,1,1,2,3,4,16,15,32,29
511,1,1,1,2,1,23,17,22,18
562,2,1,4,4,4,21,20,20,14
599,1,1,3,3,2,18,18,33,32
625,2,1,2,4,1,18,15,16,13
633,1,1,3,1,2,16,14,24,19
642,1,1,3,5,5,17,11,20,19
651,2,1,2,3,3,19,19,26,20
652,1,1,3,3,3,17,15,31,23
653,2,1,5,5,5,14,12,19,17
655,2,1,6,4,3,24,18,11,10
673,1,1,3,4,3,16,13,27,21
680,2,1,4,6,5,27,25,28,27
688,2,1,4,4,4,20,19,18,15
701,1,1,3,2,5,24,21,33,31
705,1,1,2,3,2,23,15,31,21
707,1,1,4,4,3,25,21,32,29
732,2,1,2,4,1,25,21,23,19
797,2,1,1,2,1,18,17,21,16
811,2,1,2,4,2,16,15,22,19
814,2,1,3,3,3,19,14,12,6
828,2,1,5,5,6,30,28,32,26
851,1,1,2,2,1,23,20,25,20
864,2,1,3,4,2,24,24,24,18
880,1,1, , , ,25,24,29,28
896,2,1,4,3,4,24,24,25,24
908,2,1,6,6,6,27,25,30,28
911,2,1,5,4,5,24,23,29,26
939,1,1,2,3,2,18,16,25,22
951,1,1,2,2,3,27,24,34,34
966,1,1,3,6,6,19,15,26,24
1007,1,1,2,2,2,25,23,29,28
1013,2,1,3,2,4,20,17,20,19
1023,2,1,2,3,1,27,21,22,21
1051,2,1,3,3,3,22,22,27,18
1054,1,1,5,3,3,20,7,20,12
1083,1,1,4,3,2,17,15,21,13
1109,1,1,2,1,1,18,17,13,11
1111,1,1,3,4,2,20,19,28,23
1112,2,1,3,4,2,23,23,20,13
1131,1,1,4,5,3,24,21,33,27
1133,2,1,4,3,2,19,18,18,13
1166,1,1,3,4,3,21,20,33,31
1179,1,1, , , ,19,15,22,20
1181,1,1,2,2,1,16,10,20,17
1192,1,1,3,3,1,21,19,26,22
1254,1,1,3,3,2,16,15,22,18
1267,1,1,4,2,2,19,17,27,26
1274,1,1,3,4,3,19,16,31,28
1280,1,1,3,2,5,23,21,31,30
1288,2,1,3,3,2,16,11,12,7
1323,1,1,3,3,4,26,24,27,23
1326,2,1,2,4, ,24,21,22,18
1328,1,1,2,1, ,23,18,21,19
1330,1,1,4,6,4,22,21,27,22
1333,1,1,3,3,4,23,21,31,28
1337,2,1,4,5,3,17,15,20,18
1346,2,1,1,3, ,12,9,12,11
1367,1,1,3,3,2,22,18,24,24
1372,1,1,5,6,5,20,20,21,20
1374,1,1,6,5,5,23,21,32,27
1382,2,1,3,3, ,24,22,23,22
1414,2,1,3,3,2,22,17,17,17
1434,1,1,2,1,1,18,17,20,16
1439,2,1,4,6,7,22,19,29,23
1447,2,1,3,2,2,18,14,18,14
1456,1,1,4,5,5,29,24,35,34
1459,1,1,3,3,2,19,11,14,13
1460,1,1,3,3,4,18,15,25,22
1461,1,1,1,1,1,22,21,27,25
1474,2,1,3, ,1,21,20,14,14
