gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,fanCat,kissesCat,profilevisitsCat,picturesCat
Female,Male,25,over21,4,8279,239,0,true,true,true,0,3,4,1
Female,Male,22,over21,5,663,13,0,true,true,true,0,2,2,2
Female,Male,21,under21,4,1369,88,0,false,false,true,0,2,3,1
Female,None,20,under21,3,22187,1015,2,true,true,false,1,3,4,1
Female,Male,21,under21,12,35262,1413,9,true,false,false,1,3,4,2
Female,Male,24,over21,18,7339,180,0,true,false,true,0,3,4,2
Female,None,24,over21,13,18672,492,0,false,true,false,0,3,4,2
Female,Male,23,over21,6,19091,1348,0,true,false,true,0,3,4,2
Female,Male,20,under21,14,29984,2389,10,true,true,true,1,3,4,2
Female,Male,24,over21,1,5979,147,1,true,true,true,1,3,4,1
Female,Male,22,over21,3,10450,421,2,true,true,false,1,3,4,1
Female,Both,20,under21,5,2612,117,0,true,true,false,0,3,3,2
Female,Male,22,over21,22,31736,2102,6,true,false,false,1,3,4,2
Female,Male,20,under21,12,32450,787,10,true,true,true,1,3,4,2
Female,Male,22,over21,4,1710,116,1,false,false,true,1,3,3,1
Female,Male,25,over21,13,26842,643,1,false,true,true,1,3,4,2
Female,Male,21,under21,5,31020,1195,0,true,false,true,0,3,4,2
Female,Male,22,over21,2,20266,1148,0,true,true,true,0,3,4,1
Female,Male,20,under21,4,16683,647,0,true,false,false,0,3,4,1
Female,Male,25,over21,7,3413,86,0,true,false,true,0,2,3,2
Female,Male,19,under21,13,8310,143,2,true,false,false,1,3,4,2
Female,Male,21,under21,1,25903,982,0,true,true,true,0,3,4,1
Female,Male,21,under21,27,33018,812,36,true,true,true,1,3,4,2
Female,Male,22,over21,15,2502,25,0,true,false,false,0,2,3,2
Female,Male,24,over21,5,22847,1282,63,true,false,false,1,3,4,2
Female,None,21,under21,13,7407,125,0,true,true,true,0,3,4,2
Female,Both,19,under21,30,16096,533,6,true,true,false,1,3,4,2
Female,Male,22,over21,9,15457,431,0,true,true,true,0,3,4,2
Female,Male,20,under21,18,6962,361,0,true,true,true,0,3,4,2
Female,Both,22,over21,30,30863,1901,121,false,false,true,1,3,4,2
Female,Male,24,over21,3,51339,2926,1,true,false,false,1,3,4,1
Female,Male,21,under21,7,3471,38,4,false,false,true,1,2,3,2
Female,Male,25,over21,18,12050,478,7,false,true,true,1,3,4,2
Female,Male,24,over21,12,26982,710,0,true,false,true,0,3,4,2
Female,Male,24,over21,7,1820,25,0,true,true,false,0,2,3,2
Female,None,22,over21,18,11507,194,58,true,false,false,1,3,4,2
Female,Male,21,under21,10,17655,468,0,true,true,true,0,3,4,2
Female,Male,21,under21,11,47000,1469,82,true,false,false,1,3,4,2
Female,Male,19,under21,8,12754,368,2,true,true,true,1,3,4,2
Female,Male,19,under21,3,7694,143,14,true,true,true,1,3,4,1
Female,Male,25,over21,20,4372,134,16,true,false,false,1,3,4,2
Female,Male,22,over21,5,9700,124,0,true,false,false,0,3,4,2
Female,Male,20,under21,3,10531,360,1,true,false,false,1,3,4,1
Female,Male,19,under21,8,16458,486,15,true,false,true,1,3,4,2
Female,Male,20,under21,5,264,6,0,false,true,false,0,1,1,2
Female,Male,25,over21,15,18475,1065,23,true,true,false,1,3,4,2
Female,Male,22,over21,5,7045,316,0,true,false,true,0,3,4,2
Female,Male,25,over21,4,52884,1717,2,true,true,true,1,3,4,1
Female,Male,22,over21,12,37740,1016,41,true,false,true,1,3,4,2
Female,Male,20,under21,4,6730,297,2,false,true,false,1,3,4,1
Female,Male,20,under21,11,11120,216,0,true,true,false,0,3,4,2
Female,Male,24,over21,4,18395,328,0,false,false,true,0,3,4,1
Female,Male,24,over21,6,6756,81,0,true,false,true,0,2,4,2
Female,Male,21,under21,4,10976,158,26,true,false,false,1,3,4,1
Female,Male,21,under21,13,2567,97,1,true,true,true,1,2,3,2
Female,Male,22,over21,5,1309,89,0,true,true,false,0,2,3,2
Female,Male,26,over21,1,1448,37,0,false,false,true,0,2,3,1
Female,Male,23,over21,19,31448,754,31,false,false,true,1,3,4,2
Female,Male,20,under21,8,7979,138,4,true,true,true,1,3,4,2
Female,Male,24,over21,12,12629,548,0,true,false,false,0,3,4,2
Female,Male,19,under21,4,48980,2358,28,true,false,true,1,3,4,1
Female,Male,22,over21,3,54332,1196,0,true,true,false,0,3,4,1
Female,Male,20,under21,28,33528,3679,32,false,true,false,1,3,4,2
Female,Male,22,over21,11,6495,292,0,true,false,false,0,3,4,2
Female,Male,23,over21,30,11989,272,0,true,false,true,0,3,4,2
Female,Male,19,under21,5,6012,132,0,false,false,true,0,3,4,2
Female,Male,20,under21,13,2844,35,6,true,false,true,1,2,3,2
Female,Male,20,under21,1,27174,1306,0,true,false,false,0,3,4,1
Female,Male,25,over21,11,4709,203,10,true,true,true,1,3,4,2
Female,Male,21,under21,21,20642,530,15,true,false,false,1,3,4,2
Female,Male,23,over21,7,18216,301,0,true,true,true,0,3,4,2
Female,Male,21,under21,15,30950,1173,4,false,false,true,1,3,4,2
Female,Male,19,under21,7,9078,335,11,true,false,false,1,3,4,2
Female,Male,20,under21,3,864,39,0,true,true,true,0,2,2,1
Female,None,21,under21,3,18187,772,51,false,false,true,1,3,4,1
Female,Male,21,under21,10,21469,623,1,true,false,false,1,3,4,2
Female,Male,24,over21,6,17115,610,13,true,false,true,1,3,4,2
Female,Male,20,under21,14,51560,6155,18,true,false,false,1,3,4,2
Female,Male,23,over21,20,23177,1194,25,false,false,true,1,3,4,2
Female,Male,23,over21,1,52,0,0,true,false,true,0,1,1,1
Female,Male,20,under21,13,4829,348,0,false,false,true,0,3,4,2
Female,Male,20,under21,4,31435,1978,0,true,true,true,0,3,4,1
