pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
29,1,1,4,4,4,21,18,17,14
59,2,1,3,3,3,14,14,14,13
68,1,1,3,3,1,26,25,30,23
80,1,1,4,6,4,17,14,21,20
83,2,1,4,5,4,26,24,26,25
97,2,1,4,3,2,19,17,20,18
107,2,1,4,4,5,25,25,26,20
142,1,1,4,5,2,16,15,25,18
151,2,1,3,3,4,24,20,20,20
157,1,1,6,5,7,30,30,34,34
160,1,1,4,4,4,24,21,27,11
185,2,1, , , ,24,24,28,25
192,1,1,3,4,4,30,29,35,30
203,2,1,1,1,2,24,22,25,23
234,2,1,5,6,3,28,27,21,17
242,2,1,3,2,1,16,12,11,7
266,2,1,1,1,1,24,24,27,23
272,2,1,4,5,3,22,20,23,22
308,2,1,5,3,5,29,27,32,19
336,2,1,4,4,3,22,21,30,28
352,2,1,5,5, ,24,20,25,25
392,2,1,3,3,2,21,17,12,12
408,2,1,4,3,4,17,7,12,4
412,2,1,4,6,6,26,22,31,30
468,1,1,5,5,3,27,23,34,34
472,1,1,4,5,5,27,25,32,32
485,2,1,3,3,3,16,16,21,18
522,2,1,4,6,7,19,19,21,20
526,2,1,3, ,2,19,9,23,13
529,1,1,1,1,2,22,15,17,13
573,2,1,3,5,6,22,20,21,15
600,2,1,3,3,4,22,18,22,19
625,2,1,2,4,1,18,15,16,13
627,2,1,2,6,2,19,18,21,20
645,2,1,3,3,4,26,24,28,26
650,1,1,5,5,4,23,18,20,19
651,2,1,2,3,3,19,19,26,20
653,2,1,5,5,5,14,12,19,17
688,2,1,4,4,4,20,19,18,15
694,1,1,3,3,2,14,7,17,14
701,1,1,3,2,5,24,21,33,31
718,2,1,3,1,1,22,22,14,8
735,2,1,2,2,3,13,13,13,11
754,2,1,3,3,2,20,20,16,13
837,2,1,1,1,3,21,18,18,17
842,2,1,3,2,2,15,11,19,12
851,1,1,2,2,1,23,20,25,20
857,1,1,3,6,4,18,15,24,20
862,2,1,3,3,1,20,19,24,13
883,2,1,5,6,3,22,17,22,21
904,2,1,5,5,1,27,26,30,27
943,1,1,3,3,3,25,24,25,21
944,1,1,4,5,4,26,22,25,22
957,1,1,2,2,4,20,19,30,30
981,2,1,3,2,3,20,20,28,26
1012,1,1, , ,1,17,11,13,12
