pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
1,2,1,3,4,2,14,11,14,13
20,1,1,2,1,2,16,7,18,15
26,2,1,3,5,4,22,21,24,23
57,2,1,4,3,5,20,17,18,11
64,1,1,4,5,6,21,16,27,23
82,2,1,3,4,4,27,25,23,18
85,1,1,4,6,5,24,21,27,24
103,2,1,5,5,4,20,14,11,11
110,2,1,3,5,1,26,25,24,24
117,2,1,3,3,5,21,20,25,20
142,1,1,4,5,2,16,15,25,18
145,2,1,3,3,3,24,23,19,19
155,2,1,3,3,7,27,23,19,15
176,2,1,5,5,5,24,23,31,28
212,2,1,5,6,4,24,22,29,24
214,1,1,3,3,1,14,14,14,14
216,1,1,1,1,1,16,16,23,20
240,1,1,6,4,3,27,25,29,25
248,1,1,3,4,5,25,23,31,30
265,2,1,1,1,2,22,20,12,10
277,1,1,5,6,4,23,18,30,23
281,1,1,6,2,4,24,20,25,24
291,2,1,2,4,3,19,17,20,19
309,2,1,3,3,2,24,22,22,14
315,1,1,5,3,2,21,17,31,31
319,1,1,3,5,3,21,17,24,22
337,2,1,3,3,2,24,22,23,21
338,1,1,4,6,1,27,27,34,24
351,2,1,4,5,4,14,13,12,10
352,2,1,5,5, ,24,20,25,25
383,1,1,4,4,6,20,9,16,13
402,2,1,3,3,3,22,19,26,23
416,2,1,6,6,7,16,14,14,10
420,2,1,4,4,2,27,25,32,28
423,2,1,4,3,7,17,17,18,14
447,1,1,4,1,3,16,13,18,14
481,1,1,5,6,6,21,20,30,29
522,2,1,4,6,7,19,19,21,20
562,2,1,4,4,4,21,20,20,14
582,2,1,2,3,3,21,19,20,13
624,2,1,4,3,2,28,25,29,26
641,2,1,2,2,1,13,12,17,16
647,2,1,3,3,1,9,7,13,12
651,2,1,2,3,3,19,19,26,20
674,1,1,5,6,5,30,27,35,35
680,2,1,4,6,5,27,25,28,27
724,1,1,3,3,3,19,16,22,18
745,2,1,4,3,1,20,19,14,11
747,2,1,4,6, ,16,11,13,11
749,1,1,3,5,3,19,13,17,12
768,1,1,3,6,4,28,26,34,33
779,1,1,4,5,2,23,21,27,19
786,1,1,4,3,3,22,19,20,18
819,1,1,5,6,3,30,29,35,34
825,1,1,5,6,6,25,22,34,32
828,2,1,5,5,6,30,28,32,26
842,2,1,3,2,2,15,11,19,12
864,2,1,3,4,2,24,24,24,18
880,1,1, , , ,25,24,29,28
883,2,1,5,6,3,22,17,22,21
892,2,1,4,4,4,23,21,28,26
894,2,1,5,5, ,25,21,18,18
897,2,1,4,6,5,28,24,33,21
911,2,1,5,4,5,24,23,29,26
913,1,1,3,4,4,23,19,30,29
916,1,1,3,3, ,13,9,14,10
924,2,1,5,5,5,23,17,26,26
933,2,1, , , ,25,21,20,17
958,2,1,5,5, ,20,19,26,25
968,2,1,5,6,7,22,20,22,21
980,2,1,4,5,3,24,17,24,17
1013,2,1,3,2,4,20,17,20,19
1026,2,1,1,1,1,8,3,10,10
1029,1,1,4,6,4,14,14,25,21
1041,2,1,3,3,4,25,24,26,22
1043,2,1,4,6,7,20,20,18,14
1048,1,1,4,3,2,17,15,24,20
1072,1,1,5,6,4,25,24,30,28
1089,2,1,3,2,2,20,18,24,20
1109,1,1,2,1,1,18,17,13,11
1112,2,1,3,4,2,23,23,20,13
1118,1,1,2,4,4,20,15,30,21
1119,2,1,2,3,5,18,17,14,14
1159,2,1,5,4,3,15,10,8,8
1165,1,1,3,4,3,16,15,30,24
1176,2,1,3,3,2,20,19,19,14
1181,1,1,2,2,1,16,10,20,17
1211,2,1,2,1,3,24,22,29,26
1218,2,1,4,4,7,16,14,25,18
1221,2,1,3,4,3,16,13,27,20
1237,2,1,3,3,2,21,16,19,12
1247,2,1,3,5,7,19,17,28,21
1260,2,1,3,2,1,19,16,18,17
1288,2,1,3,3,2,16,11,12,7
1323,1,1,3,3,4,26,24,27,23
1328,1,1,2,1, ,23,18,21,19
1337,2,1,4,5,3,17,15,20,18
1338,2,1,3,4,3,20,18,25,24
1346,2,1,1,3, ,12,9,12,11
1372,1,1,5,6,5,20,20,21,20
1382,2,1,3,3, ,24,22,23,22
1384,2,1,2,2,2,19,19,14,13
1386,2,1,2,3,2,20,15,21,11
1398,1,1,2,2,3,12,11,12,10
1402,2,1,5,3,3,23,22,17,17
1405,1,1,3,4,3,15,9,21,20
1438,1,1,1, ,1,15,12,18,17
1453,1,1,4,3,4,27,26,25,22
1484,2,1,5,3,5,26,22,24,23
1491,1,1,3,3,3,24,22,30,25
1494,1,1,3,1,1,27,26,29,28
30,2,2,5,3,2,24,22,21,20
113,2,2,5,6,3,26,19,29,28
175,2,2,4,5,4,25,24,27,21
177,2,2,3,4,3,30,27,24,23
195,2,2,5,4,2,24,17,25,20
206,1,2,5,3,4,19,18,20,17
262,2,2,5,4,5,25,21,32,18
270,2,2,3,1,2,21,17,13,7
274,2,2,2,1,1,22,17,17,11
310,2,2,3,6,4,24,21,19,19
377,2,2,3,3,1,23,20,13,7
385,1,2,3,6,4,27,23,32,29
396,1,2,5,6,6,26,23,33,26
401,2,2, , , ,23,21,25,20
415,2,2,5,5,4,19,15,26,21
439,1,2,2,3,2,26,24,33,30
450,2,2,4,6, ,26,21,28,20
453,1,2,4,1,1,21,19,33,32
456,2,2,3,3,2,20,16,20,16
515,2,2,1,3,4,19,17,13,8
518,2,2,1,1,2,25,20,14,10
523,2,2,3,3,3,24,13,18,14
524,1,2,3,4,1,19,18,20,17
541,1,2,6,6,4,25,24,31,20
555,1,2,4,4,4,19,18,21,19
568,2,2,5,6,4,22,19,22,20
574,2,2,3,3,2,17,16,14,11
581,2,2,4,5,5,23,18,23,15
592,2,2,5,6,7,28,26,31,25
610,2,2,3,4,4,27,17,35,29
689,2,2,2,1,1,28,17,22,18
691,2,2,3,5,4,22,20,26,22
740,2,2,3,3, ,21,15,17,13
774,2,2,4,3,7,17,11,19,18
783,1,2,3,4,2,28,23,32,31
853,1,2,2,2,2,20,17,30,22
858,2,2,3,2,3,26,24,28,25
890,2,2,2,4,2,20,17,24,24
912,1,2,6,6,4,23,22,30,25
987,1,2,6,4,6,23,20,32,10
992,1,2,3,5,4,18,16,20,18
993,2,2,3,2, ,20,18,22,20
1036,2,2,1,2,5,22,18,10,10
1049,1,2, , , ,20,12,30,21
1057,1,2,4,4,4,20,19,23,20
1065,1,2,5,6,5,26,23,35,32
1074,2,2,3,4,4,19,18,26,21
1104,1,2,5,4,4,26,23,30,28
1107,1,2,3,4,2,24,20,24,20
1130,1,2,4,6,5,28,22,33,22
1154,1,2,6,3,3,17,12,18,13
1164,1,2,3,3,4,15,9,20,17
1185,2,2,1,3,1,22,20,17,14
1261,2,2,5,1,3,25,21,20,20
1304,1,2,3,4,2,15,13,18,16
1327,1,2,5,5,4,22,21,22,20
1339,1,2,2,2,2,22,22,22,20
1359,1,2,4,6,4,24,19,31,28
1387,2,2,3,5,3,21,20,26,22
1388,2,2,4,4,2,27,21,20,14
1392,2,2,3,2,5,19,17,22,17
1393,1,2,2,1,2,25,23,26,12
1404,2,2,5,5, ,22,20,18,14
1493,1,2,5,6,3,15,9,25,8
1496,2,2,3,4,5,22,20,21,19
1500,1,2,1,4,2,23,17,29,24
1507,1,2,5,5, ,25,21,29,22
