pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
1,2,1,3,4,2,14,11,14,13
20,1,1,2,1,2,16,7,18,15
35,2,1,2,4,2,23,18,20,19
42,1,1,4,4,1,24,23,23,11
46,2,1,4,4,4,20,17,13,5
52,1,1,3,6, ,24,22,26,16
68,1,1,3,3,1,26,25,30,23
71,1,1,2,2,1,25,23,25,20
80,1,1,4,6,4,17,14,21,20
85,1,1,4,6,5,24,21,27,24
104,2,1,4,3,7,18,17,26,23
107,2,1,4,4,5,25,25,26,20
115,1,1,4,5,3,22,21,23,21
151,2,1,3,3,4,24,20,20,20
155,2,1,3,3,7,27,23,19,15
165,2,1,5,6,2,30,30,32,27
182,2,1,4,3,4,22,20,22,20
185,2,1, , , ,24,24,28,25
192,1,1,3,4,4,30,29,35,30
198,1,1,3,3,4,17,16,22,20
215,1,1,4,2,3,21,19,24,12
234,2,1,5,6,3,28,27,21,17
244,2,1,1,2,4,31,28,34,29
245,2,1,3,4,4,30,28,29,28
248,1,1,3,4,5,25,23,31,30
269,2,1,3,3,3,23,19,17,16
329,1,1,3,3,2,12,9,17,17
330,2,1,4,5, ,20,17,13,11
340,1,1,3,1,2,16,11,18,17
348,2,1,2,3,3,23,22,28,28
383,1,1,4,4,6,20,9,16,13
392,2,1,3,3,2,21,17,12,12
397,2,1,2,2,3,21,20,28,26
423,2,1,4,3,7,17,17,18,14
438,2,1,2,1,2,15,12,20,18
444,1,1,4,4,3,19,17,27,23
477,2,1,3,6,3,23,21,32,25
494,1,1,3,1,1,21,20,21,20
498,2,1,5,4, ,21,18,17,14
519,1,1,2,2,1,17,12,17,6
576,1,1,4,4,4,19,15,18,18
582,2,1,2,3,3,21,19,20,13
645,2,1,3,3,4,26,24,28,26
666,2,1,4,4,3,16,13,10,10
673,1,1,3,4,3,16,13,27,21
696,2,1,6,3,2,14,14,22,20
705,1,1,2,3,2,23,15,31,21
721,1,1,3,4,2,15,12,15,14
732,2,1,2,4,1,25,21,23,19
749,1,1,3,5,3,19,13,17,12
758,1,1,3,3,4,22,17,25,20
828,2,1,5,5,6,30,28,32,26
864,2,1,3,4,2,24,24,24,18
893,2,1,3,4,3,24,22,21,19
894,2,1,5,5, ,25,21,18,18
957,1,1,2,2,4,20,19,30,30
971,2,1,5,5,4,21,12,21,19
1026,2,1,1,1,1,8,3,10,10
1030,2,1,3,3, ,21,19,23,18
1079,2,1,4,3,4,22,19,17,16
1083,1,1,4,3,2,17,15,21,13
1119,2,1,2,3,5,18,17,14,14
1124,1,1,4,3,2,21,17,21,12
1160,2,1,2,1,3,20,17,22,20
1206,1,1,2,3,1,26,23,29,23
1221,2,1,3,4,3,16,13,27,20
1240,1,1,3,1,1,14,13,26,17
1241,2,1,3,2,3,17,16,20,19
1242,1,1,5,6,4,14,13,27,23
1266,2,1,1,1,2,24,23,23,13
1276,2,1,3,3,1,30,28,30,27
1280,1,1,3,2,5,23,21,31,30
1288,2,1,3,3,2,16,11,12,7
1296,2,1,3,4,3,25,22,25,20
1316,2,1,6,5,2,15,13,14,14
1329,1,1,3,3,2,23,18,26,25
1338,2,1,3,4,3,20,18,25,24
1351,2,1,5,5,4,21,20,21,19
1353,1,1,5,6,5,26,24,32,30
1374,1,1,6,5,5,23,21,32,27
1375,2,1,3,4,2,20,18,20,20
1390,2,1,2,2,2,21,19,15,11
1394,2,1, , ,2,29,29,33,31
1408,2,1,3,4,2,17,13,11,11
1414,2,1,3,3,2,22,17,17,17
1453,1,1,4,3,4,27,26,25,22
1460,1,1,3,3,4,18,15,25,22
1465,2,1,5,5,3,24,22,30,28
1494,1,1,3,1,1,27,26,29,28
7,1,2,3,2,4,9,8,19,16
10,1,2,5,4,3,15,15,23,13
105,1,2,6,4,4,25,24,32,30
108,1,2,4,5,4,23,18,27,21
109,1,2,6,5,7,28,27,34,34
123,2,2,2,1,2,17,14,17,11
140,2,2,5,4,4,21,20,21,20
207,2,2,3,5,3,28,26,28,25
209,2,2,3,5,3,25,20,25,24
243,2,2,4,6,7,19,15,20,19
295,2,2,3,1,3,26,12,24,4
310,2,2,3,6,4,24,21,19,19
331,1,2,4,2, ,18,13,24,23
367,2,2,3,3,3,27,21,28,21
371,1,2,3,4,3,20,17,25,19
380,2,2,3,4,3,30,24,21,19
393,2,2,5,5,4,19,19,16,14
396,1,2,5,6,6,26,23,33,26
428,2,2,3,6,2,27,25,33,31
439,1,2,2,3,2,26,24,33,30
452,2,2,3,3, ,21,17,19,14
471,1,2,1,1,2,22,17,28,20
478,2,2,3,1,3,23,13,20,10
517,1,2,4,5,2,16,9,19,8
523,2,2,3,3,3,24,13,18,14
537,2,2,3,5,4,23,21,21,18
575,1,2,5,5,5,23,22,33,26
581,2,2,4,5,5,23,18,23,15
643,1,2,3,4,5,21,21,20,19
659,2,2,6,3,4,18,10,23,8
711,2,2, , , ,20,17,13,11
764,2,2,2,1,1,13,11,17,11
792,2,2,2,2,1,14,10,11,10
826,2,2,5,5,5,22,20,33,31
838,2,2,2,3,4,17,14,12,11
867,1,2,3,4,2,13,13,20,12
881,2,2,3,3,3,18,16,30,19
898,2,2,5,5,4,19,15,32,17
917,1,2,4,4,3,19,19,24,23
920,1,2,3,5,4,16,12,25,22
973,1,2,3,3,4,18,15,20,16
983,2,2,5,3,3,22,21,33,21
987,1,2,6,4,6,23,20,32,10
1028,2,2,3,3,3,19,12,16,11
1036,2,2,1,2,5,22,18,10,10
1057,1,2,4,4,4,20,19,23,20
1110,1,2,3,3,4,20,20,20,18
1138,2,2,4,6,4,24,17,21,14
1144,2,2,5,3,2,28,19,25,21
1158,1,2,5,5,5,26,20,30,24
1175,2,2,5,6,2,17,15,20,17
1245,2,2,4,5,5,25,22,28,19
1268,1,2,4,6,7,26,25,31,30
1275,2,2,1,4,2,24,22,32,24
1300,2,2,4,5,5,24,21,24,22
1304,1,2,3,4,2,15,13,18,16
1306,1,2,4,1,1,17,13,19,16
1332,1,2,6,6,6,21,9,32,18
1361,1,2,5,4,4,27,20,32,26
1383,1,2,6,6,7,21,20,28,21
1392,2,2,3,2,5,19,17,22,17
1411,1,2,4,6,5,17,16,24,20
1440,2,2,1,1,1,17,17,11,10
1493,1,2,5,6,3,15,9,25,8
1500,1,2,1,4,2,23,17,29,24
1501,1,2,1,1,1,20,15,22,21
