pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
20,1,1,2,1,2,16,7,18,15
52,1,1,3,6, ,24,22,26,16
63,2,1,4,2,1,24,20,25,20
96,2,1,4,5,4,23,23,21,20
106,1,1,4,4,4,22,22,26,22
115,1,1,4,5,3,22,21,23,21
142,1,1,4,5,2,16,15,25,18
164,2,1,5,6,4,22,19,29,25
200,1,1,3,4,3,13,11,19,17
212,2,1,5,6,4,24,22,29,24
216,1,1,1,1,1,16,16,23,20
226,1,1,3,3,2,22,19,31,31
244,2,1,1,2,4,31,28,34,29
245,2,1,3,4,4,30,28,29,28
263,1,1,3,3,4,17,14,23,22
351,2,1,4,5,4,14,13,12,10
352,2,1,5,5, ,24,20,25,25
365,2,1,5,5,4,21,16,16,14
418,2,1,5,6,4,26,23,26,22
423,2,1,4,3,7,17,17,18,14
427,2,1,4,6,6,20,20,25,25
429,1,1,3,1,3,21,20,28,27
446,1,1,3,1,2,18,10,20,17
469,1,1,3,4, ,21,18,26,26
494,1,1,3,1,1,21,20,21,20
508,2,1,2,5, ,15,15,16,14
511,1,1,1,2,1,23,17,22,18
526,2,1,3, ,2,19,9,23,13
642,1,1,3,5,5,17,11,20,19
653,2,1,5,5,5,14,12,19,17
655,2,1,6,4,3,24,18,11,10
677,2,1,2,3,5,13,11,21,20
696,2,1,6,3,2,14,14,22,20
705,1,1,2,3,2,23,15,31,21
721,1,1,3,4,2,15,12,15,14
729,2,1,3,1,7,21,20,17,14
755,2,1,5,6,4,26,26,32,26
800,2,1,4,5,4,24,21,23,23
801,2,1,3,5,3,26,24,25,17
811,2,1,2,4,2,16,15,22,19
821,1,1,2,2,2,16,13,18,17
859,2,1,2,4,2,21,20,25,22
883,2,1,5,6,3,22,17,22,21
894,2,1,5,5, ,25,21,18,18
896,2,1,4,3,4,24,24,25,24
911,2,1,5,4,5,24,23,29,26
924,2,1,5,5,5,23,17,26,26
980,2,1,4,5,3,24,17,24,17
981,2,1,3,2,3,20,20,28,26
1006,2,1,2,2,2,18,13,17,11
1020,2,1,5,5,5,23,22,25,22
1029,1,1,4,6,4,14,14,25,21
1080,2,1,2, , ,21,21,21,17
1083,1,1,4,3,2,17,15,21,13
1091,1,1,3,3,3,20,16,27,25
1100,2,1,5,4,5,21,19,16,13
1103,2,1,3,2,2,24,21,29,21
1112,2,1,3,4,2,23,23,20,13
1118,1,1,2,4,4,20,15,30,21
1146,2,1,4,3,3,23,21,22,15
1163,2,1,5,3,4,20,16,20,19
1179,1,1, , , ,19,15,22,20
1181,1,1,2,2,1,16,10,20,17
1184,1,1,1,1,1,18,15,18,16
1190,2,1,5,5, ,14,9,17,10
1201,1,1,1,1,2,20,18,20,20
1206,1,1,2,3,1,26,23,29,23
1241,2,1,3,2,3,17,16,20,19
1252,1,1,5,6,4,21,18,26,24
1266,2,1,1,1,2,24,23,23,13
1274,1,1,3,4,3,19,16,31,28
1329,1,1,3,3,2,23,18,26,25
1357,1,1,3,3,3,12,8,18,13
1366,1,1,4,3,2,14,13,23,22
1372,1,1,5,6,5,20,20,21,20
1402,2,1,5,3,3,23,22,17,17
1421,2,1,3,3,2,19,19,21,18
1438,1,1,1, ,1,15,12,18,17
1453,1,1,4,3,4,27,26,25,22
1474,2,1,3, ,1,21,20,14,14
1485,1,1,4,4,1,21,21,30,29
39,1,2, , , ,23,19,26,22
