pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
4,2,1,1,1,1,20,17,20,19
12,1,1,4,6,3,26,25,20,20
64,1,1,4,5,6,21,16,27,23
67,1,1,3,3,4,19,17,33,23
71,1,1,2,2,1,25,23,25,20
78,2,1,5,6,4,27,25,31,25
88,2,1,3,4,7,25,25,20,19
107,2,1,4,4,5,25,25,26,20
112,1,1,2,1,2,14,13,26,20
115,1,1,4,5,3,22,21,23,21
118,2,1,5,4,3,20,19,19,11
142,1,1,4,5,2,16,15,25,18
151,2,1,3,3,4,24,20,20,20
160,1,1,4,4,4,24,21,27,11
168,2,1,3,3,4,22,21,26,24
182,2,1,4,3,4,22,20,22,20
199,2,1,2,1,2,18,17,18,12
203,2,1,1,1,2,24,22,25,23
213,2,1,1,1, ,14,11,13,12
224,2,1,6,6,7,30,30,26,25
240,1,1,6,4,3,27,25,29,25
248,1,1,3,4,5,25,23,31,30
255,1,1,4,6,3,25,21,30,22
265,2,1,1,1,2,22,20,12,10
311,2,1,2,3,2,24,22,30,24
317,2,1,2,2,4,24,22,22,20
319,1,1,3,5,3,21,17,24,22
323,1,1,3,5,4,26,24,34,32
362,2,1,3,5,4,23,21,15,15
408,2,1,4,3,4,17,7,12,4
423,2,1,4,3,7,17,17,18,14
433,2,1,4,4,5,27,21,22,22
447,1,1,4,1,3,16,13,18,14
449,2,1,1,4,3,25,22,21,16
474,1,1,4,5,4,18,15,29,23
477,2,1,3,6,3,23,21,32,25
529,1,1,1,1,2,22,15,17,13
532,2,1,6,6,5,11,7,11,8
562,2,1,4,4,4,21,20,20,14
576,1,1,4,4,4,19,15,18,18
593,2,1,3,5,7,26,24,25,21
632,2,1,3,3,1,19,17,18,11
633,1,1,3,1,2,16,14,24,19
642,1,1,3,5,5,17,11,20,19
674,1,1,5,6,5,30,27,35,35
677,2,1,2,3,5,13,11,21,20
732,2,1,2,4,1,25,21,23,19
755,2,1,5,6,4,26,26,32,26
758,1,1,3,3,4,22,17,25,20
771,1,1,2,1,2,18,13,17,16
786,1,1,4,3,3,22,19,20,18
787,1,1,3,2,2,20,16,17,17
797,2,1,1,2,1,18,17,21,16
820,1,1,3,3,4,12,9,15,13
831,2,1,2,2,2,21,19,18,10
832,1,1,3,4,3,20,19,24,23
842,2,1,3,2,2,15,11,19,12
850,1,1, , ,3,16,13,27,24
851,1,1,2,2,1,23,20,25,20
862,2,1,3,3,1,20,19,24,13
891,1,1,3,4,3,17,13,18,15
894,2,1,5,5, ,25,21,18,18
897,2,1,4,6,5,28,24,33,21
931,2,1,4,3,7,21,21,24,23
937,2,1,2, ,1,25,23,28,21
941,2,1,3,2,1,20,16,21,12
