pairnum,sex,zygosity,moed,faed,faminc,English1,English2,Math1,Math2
38,1,1,6,5,4,15,10,17,16
46,2,1,4,4,4,20,17,13,5
64,1,1,4,5,6,21,16,27,23
78,2,1,5,6,4,27,25,31,25
106,1,1,4,4,4,22,22,26,22
107,2,1,4,4,5,25,25,26,20
111,2,1,4,4,4,26,23,28,26
116,1,1,1,1,1,15,15,14,14
153,1,1,3,4,4,20,13,18,13
164,2,1,5,6,4,22,19,29,25
168,2,1,3,3,4,22,21,26,24
182,2,1,4,3,4,22,20,22,20
183,2,1,1,2,2,19,17,18,17
192,1,1,3,4,4,30,29,35,30
200,1,1,3,4,3,13,11,19,17
238,2,1,5,3,3,26,26,28,28
245,2,1,3,4,4,30,28,29,28
263,1,1,3,3,4,17,14,23,22
265,2,1,1,1,2,22,20,12,10
304,2,1,3,2,2,25,25,25,22
323,1,1,3,5,4,26,24,34,32
336,2,1,4,4,3,22,21,30,28
358,2,1,4,3,3,19,18,15,15
397,2,1,2,2,3,21,20,28,26
425,1,1,3,4,3,19,14,22,21
429,1,1,3,1,3,21,20,28,27
454,2,1,4,2,1,20,16,20,16
472,1,1,4,5,5,27,25,32,32
474,1,1,4,5,4,18,15,29,23
494,1,1,3,1,1,21,20,21,20
498,2,1,5,4, ,21,18,17,14
508,2,1,2,5, ,15,15,16,14
530,1,1,2,2,2,23,18,28,24
547,2,1,4,6,7,21,19,20,19
576,1,1,4,4,4,19,15,18,18
582,2,1,2,3,3,21,19,20,13
599,1,1,3,3,2,18,18,33,32
625,2,1,2,4,1,18,15,16,13
632,2,1,3,3,1,19,17,18,11
680,2,1,4,6,5,27,25,28,27
704,1,1,1,1,1,19,18,25,21
705,1,1,2,3,2,23,15,31,21
721,1,1,3,4,2,15,12,15,14
724,1,1,3,3,3,19,16,22,18
811,2,1,2,4,2,16,15,22,19
833,2,1,3,2,4,27,25,30,30
837,2,1,1,1,3,21,18,18,17
857,1,1,3,6,4,18,15,24,20
862,2,1,3,3,1,20,19,24,13
875,1,1,4,4,4,21,19,26,25
885,2,1,3,2,2,20,13,23,23
887,2,1,3,4,4,15,14,23,15
892,2,1,4,4,4,23,21,28,26
897,2,1,4,6,5,28,24,33,21
905,2,1,2,1,5,22,20,28,22
908,2,1,6,6,6,27,25,30,28
931,2,1,4,3,7,21,21,24,23
938,1,1,2,1,1,22,20,23,21
939,1,1,2,3,2,18,16,25,22
974,2,1,5,1,1,17,15,17,14
1002,1,1,2,3,4,26,21,33,27
1017,2,1,6,6,4,19,16,24,22
1043,2,1,4,6,7,20,20,18,14
1091,1,1,3,3,3,20,16,27,25
1092,1,1,3,6,4,27,25,24,22
1096,2,1,3,4,4,20,17,29,23
1120,1,1,3,4,4,20,18,22,22
1133,2,1,4,3,2,19,18,18,13
1140,2,1,5,6,5,20,17,23,20
1168,1,1,3,2,1,19,14,22,14
1181,1,1,2,2,1,16,10,20,17
1201,1,1,1,1,2,20,18,20,20
1216,1,1,3,5,5,24,17,24,20
1226,2,1,1,1,1,26,25,22,20
1232,2,1,3,2,2,23,23,18,18
1240,1,1,3,1,1,14,13,26,17
1254,1,1,3,3,2,16,15,22,18
1263,2,1,2,3, ,17,14,19,18
1272,2,1,3,4,2,21,19,20,18
1278,2,1,4,1,4,18,8,17,16
1280,1,1,3,2,5,23,21,31,30
1293,1,1,4,3,2,15,11,25,22
1296,2,1,3,4,3,25,22,25,20
1310,2,1,3,2,2,17,16,20,7
1331,1,1,5,6,7,21,19,28,27
1350,1,1,5,5, ,17,14,26,25
1351,2,1,5,5,4,21,20,21,19
1384,2,1,2,2,2,19,19,14,13
1386,2,1,2,3,2,20,15,21,11
1396,2,1,2,3,3,20,19,19,13
1402,2,1,5,3,3,23,22,17,17
1430,2,1,1,3,2,26,23,14,12
1434,1,1,2,1,1,18,17,20,16
1438,1,1,1, ,1,15,12,18,17
1459,1,1,3,3,2,19,11,14,13
1461,1,1,1,1,1,22,21,27,25
1484,2,1,5,3,5,26,22,24,23
1503,1,1,3,4,4,18,16,23,22
7,1,2,3,2,4,9,8,19,16
92,1,2,3,4,4,20,18,24,17
108,1,2,4,5,4,23,18,27,21
140,2,2,5,4,4,21,20,21,20
170,2,2,5,5,3,22,14,22,17
179,1,2,3,5,4,25,19,33,28
243,2,2,4,6,7,19,15,20,19
318,1,2,2,2,3,24,19,30,20
331,1,2,4,2, ,18,13,24,23
371,1,2,3,4,3,20,17,25,19
394,2,2,5,5,5,25,24,20,11
411,2,2,3,4,7,19,15,23,20
428,2,2,3,6,2,27,25,33,31
442,2,2,3,3,3,22,21,17,10
452,2,2,3,3, ,21,17,19,14
453,1,2,4,1,1,21,19,33,32
471,1,2,1,1,2,22,17,28,20
475,2,2,5,3,2,20,19,20,20
478,2,2,3,1,3,23,13,20,10
480,2,2,4,4,4,17,6,26,16
518,2,2,1,1,2,25,20,14,10
553,1,2,3,3,3,25,20,29,24
583,1,2,3,1,1,18,17,23,21
636,2,2,4,3,1,23,19,22,14
643,1,2,3,4,5,21,21,20,19
659,2,2,6,3,4,18,10,23,8
668,2,2, ,4,3,23,20,30,14
723,2,2,3,4,2,20,18,25,24
766,1,2,3,4,3,18,18,29,29
816,1,2,3,1,2,12,12,27,17
826,2,2,5,5,5,22,20,33,31
830,2,2,3,2,3,20,17,20,19
858,2,2,3,2,3,26,24,28,25
877,2,2,3,3,3,21,19,21,18
925,2,2,3,1,4,20,20,22,20
935,2,2,6,6,4,27,25,32,25
1028,2,2,3,3,3,19,12,16,11
1049,1,2, , , ,20,12,30,21
1057,1,2,4,4,4,20,19,23,20
1065,1,2,5,6,5,26,23,35,32
1078,2,2,4,3,5,20,19,23,13
1114,2,2,3,5,2,18,11,20,10
1158,1,2,5,5,5,26,20,30,24
1185,2,2,1,3,1,22,20,17,14
1250,2,2,4,3,2,23,19,16,16
1258,2,2,4,3,7,26,20,22,17
1300,2,2,4,5,5,24,21,24,22
1308,1,2,5,6,4,18,17,22,21
1334,2,2,3,3,2,21,18,20,18
1339,1,2,2,2,2,22,22,22,20
1369,2,2,3,4,2,20,18,23,11
1383,1,2,6,6,7,21,20,28,21
1399,2,2,4,6,3,20,16,16,14
1404,2,2,5,5, ,22,20,18,14
1497,1,2,3,5,4,23,14,33,23
